BHID,FROM,TO,LITH,NLITH
VB2675,0.0,3.0,Soil,0.0 
VB2675,3.0,226.187,Sandstone,1.0
VB2675,226.187,245.8869,Siltstone,2.0   
VB2675,245.8869,259.887,Breccia,3.0 
VB2675,259.887,330.887,Basalt,4.0   
VB2737,0.0,1.5,Soil,0.0 
VB2737,1.5,138.8373,Sandstone,1.0   
VB2737,138.8373,168.5373,Siltstone,2.0  
VB2737,168.5373,200.5373,Breccia,3.0
VB2737,200.5373,274.2373,Basalt,4.0 
VB2812,0.0,4.5,Soil,0.0 
VB2812,4.5,183.3175,Sandstone,1.0   
VB2812,183.3175,221.7175,Siltstone,2.0  
VB2812,221.7175,283.7175,Breccia,3.0
VB2812,283.7175,294.1175,Basalt,4.0 
VB2813,0.0,2.0,Soil,0.0 
VB2813,2.0,235.7412,Sandstone,1.0   
VB2813,235.7412,250.9412,Siltstone,2.0  
VB2813,250.9412,279.0412,Breccia,3.0
VB2813,279.0412,402.7412,Basalt,4.0 
VB2832,0.0,4.0,Soil,0.0 
VB2832,4.0,190.2809,Sandstone,1.0   
VB2832,190.2809,197.9309,Siltstone,2.0  
VB2832,197.9309,216.5309,Breccia,3.0
VB4266,0.0,3.0,Soil,0.0 
VB4266,3.0,203.6206,Sandstone,1.0   
VB4266,203.6206,210.3206,Siltstone,2.0  
VB4266,210.3206,234.3206,Breccia,3.0
VB4266,234.3206,245.8206,Basalt,4.0 
VB4267,0.0,2.5,Soil,0.0 
VB4267,2.5,206.0684,Sandstone,1.0   
VB4267,206.0684,215.3684,Siltstone,2.0  
VB4267,215.3684,236.9684,Breccia,3.0
VB4267,236.9684,244.8684,Basalt,4.0 
VB4269,0.0,2.5,Soil,0.0 
VB4269,2.5,198.1833,Sandstone,1.0   
VB4269,198.1833,212.3834,Siltstone,2.0  
VB4269,212.3834,243.6833,Breccia,3.0
VB4270,0.0,4.0,Soil,0.0 
VB4270,4.0,249.8499,Sandstone,1.0   
VB4270,249.8499,259.5499,Siltstone,2.0  
VB4270,259.5499,286.5499,Breccia,3.0
VB4270,286.5499,304.5499,Basalt,4.0 
VB4271,0.0,8.0,Soil,0.0 
VB4271,8.0,233.7563,Sandstone,1.0   
VB4271,233.7563,241.7563,Siltstone,2.0  
VB4271,241.7563,270.6564,Breccia,3.0
VB4271,270.6564,279.1564,Basalt,4.0 
VB4272,0.0,3.0,Soil,0.0 
VB4272,3.0,198.256,Sandstone,1.0
VB4272,198.256,202.9559,Siltstone,2.0   
VB4272,202.9559,216.9559,Breccia,3.0
VB4272,216.9559,247.6559,Basalt,4.0 
VB4278,0.0,2.5,Soil,0.0 
