BHID, XCOLLAR , YCOLLAR , ZCOLLAR 
OC-400-000001,75195.81834,185820.0884,411.2667
OC-400-000002,75202.26872,185819.4775,411.2667
OC-400-000003,75208.12901,185819.2472,411.2667
OC-400-000004,75214.83756,185817.2959,411.2667
OC-400-000005,75221.76472,185816.1556,411.2667
OC-400-000006,75228.12099,185815.3487,411.2667
OC-400-000007,75234.45017,185814.5114,411.2667
OC-400-000008,75240.77935,185813.6741,411.2667
OC-400-000009,75247.22057,185812.7953,411.2667
OC-400-000010,75253.66179,185811.9165,411.2667
OC-400-000011,75260.10301,185811.0377,411.2667
OC-400-000012,75266.62051,185810.0522,411.2667
OC-400-000013,75273.138,185809.0666,411.2667
OC-400-000014,75279.65549,185808.0811,411.2667
OC-400-000015,75286.17299,185807.0955,411.2667
OC-400-000016,75292.40439,185806.7631,411.2667
OC-400-000017,75298.63978,185805.9013,411.2667
OC-400-000018,75305.03077,185804.9839,411.2667
OC-400-000019,75311.40684,185804.0204,411.2667
OC-400-000020,75317.81276,185803.149,411.2667
OC-400-000021,75324.15297,185801.9957,411.2667
OC-400-000022,75196.86575,185826.6409,411.2667
OC-400-000023,75203.20071,185825.6752,411.2667
OC-400-000024,75209.53567,185824.7095,411.2667
OC-400-000025,75215.55936,185823.978,411.2667
OC-400-000026,75221.96139,185822.4413,411.2667
OC-400-000027,75229.03619,185821.2161,411.2667
OC-400-000028,75235.40971,185820.4359,411.2667
OC-400-000029,75241.78322,185819.6556,411.2667
OC-400-000030,75248.28593,185818.8287,411.2667
OC-400-000031,75254.53024,185818.0951,411.2667
OC-400-000032,75260.90376,185817.3149,411.2667
OC-400-000033,75267.50671,185816.1634,411.2667
OC-400-000034,75273.61363,185815.4301,411.2667
OC-400-000035,75279.72055,185814.6968,411.2667
OC-400-000036,75285.82747,185813.9635,411.2667
OC-400-000037,75293.05233,185813.1698,411.2667
OC-400-000038,75299.482,185812.3277,411.2667
OC-400-000039,75305.90671,185811.3714,411.2667
OC-400-000040,75312.37699,185810.5973,411.2667
OC-400-000041,75318.64333,185809.5368,411.2667
OC-400-000042,75324.99547,185808.6003,411.2667
OC-400-000043,75197.82247,185832.9958,411.2667
OC-400-000044,75204.11429,185832.0172,411.2667
