BHID XCOLLAR YCOLLAR ZCOLLAR ENDDEPTH REFSYS REFMETH HOLETYPE ENDDATE
VB2675 6085.686035 5145.945801 187.552002 333.286896 Local GPS DD 11/11/98
VB2737 6036.172852 4992.85791 169.110596 274.237305 Local GPS DD 12/9/98
VB2812 5986.801758 5053.234863 176.425003 294.117493 Local GPS DD 12/28/98
VB2813 5988.578125 5212.756836 194.413101 279.041199 Local GPS RC 3/15/99
VB2832 5923.143066 5033.443848 173.993301 216.530899 Local GPS RC 2/27/99
VB4266 5939.778809 5085.957031 179.623093 238.820602 Local GPS RC 2/6/99
VB4267 5939.939941 5150.794922 185.402893 237.568405 Local GPS DD 1/18/99
VB4269 5962.773926 5044.508789 175.553101 239.183304 Local GPS RC 1/15/99
VB4270 5969.056152 5125.991211 183.876404 288.950012 Local GPS RC 3/4/99
VB4271 5966.588867 5173.772949 188.828094 270.656403 Local GPS RC 3/16/99
VB4272 5963.368164 5155.974121 186.752396 237.455902 Local GPS DD 3/21/99
VB4280 6014.103027 5012.275879 171.592896 234.9216 Local GPS RC 3/30/99
VB4281 6020.091797 5105.89502 182.174698 289.215607 Local GPS RC 11/17/98
VB4282 6012.707031 5159.079102 188.538406 243.415405 Local GPS RC 12/6/98
VB4283 6013.047852 5195.883789 193.285004 214.434692 Local GPS RC 2/8/99
VB4285 6035.916016 5124.562988 184.414307 288.000214 Local GPS RC 4/4/99
VB4286 6034.154785 5190.557129 193.123703 228.497604 Local GPS RC 5/25/99
VB4287 6054.479004 5025.632813 172.713501 258.015503 Local GPS DD 2/28/98
VB4288 6056.861816 5115.73584 183.319397 285.641602 Local GPS RC 5/30/99
VB4289 6060.020996 5136.65918 186.120193 241.809097 Local GPS RC 12/18/98
VB4290 6062.063965 5234.751953 200.203598 251.228699 Local GPS DD 1/15/99
VB4291 6084.97998 5128.756836 185.0513 267.743805 Local GPS DD 12/9/98
VB4292 6109.740234 5146.880859 187.843307 308.114105 Local GPS RC 3/21/99
VB4293 6110.513184 5149.726074 188.287903 265.183197 Local GPS RC 2/18/99
VB4294 6119.402832 5163.084961 190.416 231.526703 Local GPS RC 12/28/98
VB4295 6118.003906 5158.876953 189.753601 212.305695 Local GPS RC 1/27/99
