BHID	XCOLLAR		YCOLLAR		ZCOLLAR		ENDDEPTH	REFSYS	REFMETH	ENDDATE
VB2675	6085.686	5145.946	187.552		333.2869	Local	GPS	11/11/98
VB2737	6036.173	4992.858	169.1106	274.2373	Local	GPS	12/9/98
VB2812	5986.802	5053.235	176.425		294.1175	Local	GPS	12/28/98
VB2813	5988.578	5212.757	194.4131	279.0412	Local	GPS	3/15/99
VB2832	5923.143	5033.444	173.9933	216.5309	Local	GPS	2/27/99
VB4266	5939.779	5085.957	179.6231	238.8206	Local	GPS	2/6/99 
VB4267	5939.94		5150.795	185.4029	237.5684	Local	GPS	1/18/99 
VB4269	5962.774	5044.509	175.5531	239.1833	Local	GPS	1/15/99
VB4270	5969.056	5125.991	183.8764	288.95		Local	GPS	3/4/99   
VB4271	5966.589	5173.773	188.8281	270.6564	Local	GPS	3/16/99
VB4272	5963.368	5155.974	186.7524	237.4559	Local	GPS	3/21/99
VB4280	6014.103	5012.276	171.5929	234.9216	Local	GPS	3/30/99
VB4281	6020.092	5105.895	182.1747	289.2156	Local	GPS	11/17/98   
VB4282	6012.707	5159.079	188.5384	243.4154	Local	GPS	12/6/98
VB4283	6013.048	5195.884	193.285		214.4347	Local	GPS	2/8/99  
VB4285	6035.916	5124.563	184.4143	288.0002	Local	GPS	4/4/99 
VB4286	6034.155	5190.557	193.1237	228.4976	Local	GPS	5/25/99
VB4287	6054.479	5025.633	172.7135	258.0155	Local	GPS	2/28/98
VB4288	6056.862	5115.736	183.3194	285.6416	Local	GPS	5/30/99
VB4289	6060.021	5136.659	186.1202	241.8091	Local	GPS	12/18/98   
VB4290	6062.064	5234.752	200.2036	251.2287	Local	GPS	1/15/99
VB4291	6084.98		5128.757	185.0513	267.7438	Local	GPS	12/9/98 
VB4292	6109.74		5146.881	187.8433	308.1141	Local	GPS	3/21/99 
VB4293	6110.513	5149.726	188.2879	265.1832	Local	GPS	2/18/99
VB4294	6119.403	5163.085	190.416		231.5267	Local	GPS	12/28/98
VB4295	6118.004	5158.877	189.7536	212.3057	Local	GPS	1/27/99
