  -85.96349    18.51357          0.0TOE 
  -87.08503    12.38101          0.0TOE 
  -87.63276   -4.033398          0.0TOE 
  -88.59781   -10.53131          0.0TOE 
  -87.63276   -16.5595           0.0TOE 
  -81.73814   -20.16075          0.0TOE 
  -72.60929   -22.40501          0.0TOE 
  -60.48096   -23.39666          0.0TOE 
  -46.73553   -24.07516          0.0TOE 
  -33.40741   -25.82359          0.0TOE 
  -18.77517   -27.41545          0.0TOE 
  -0.41315    -27.83298          0.0TOE 
   30.18153   -28.01565          0.0TOE 
   42.15335   -27.83298          0.0TOE 
   58.29837   -26.73695          0.0TOE 
   81.27698   -24.64927          0.0TOE 
   86.38914   -22.82255          0.0TOE 
   90.11893   -17.81211          0.0TOE 
   92.23161   -11.13152          0.0TOE 
   93.01408   -3.224422          0.0TOE 
   92.20552    11.38936          0.0TOE 
   89.31036    16.84342          0.0TOE 
   82.03337    20.78393          0.0TOE 
   72.11472    25.32348          0.0TOE 
   62.24976    30.01781          0.0TOE 
   51.30782    32.94651          0.0TOE 
   51.04746    22.9499           0.0TOE 
   29.6338     22.2714           0.0TOE 
  -8.342207    24.35909          0.0TOE 
  -31.3469     23.65449          0.0TOE 
  -51.32603    22.68894          0.0TOE 
  -60.11581    22.58455          0.0TOE 
  -71.6964     22.9499           0.0TOE 
  -77.61711    22.68894          0.0TOE 
  -82.49452    21.41023          0.0TOE 
  -85.96349    18.51357          0.0TOE 
   51.30782    32.94651          0.0ROAD
   30.34162    33.49255    2.097331 ROAD
  -7.600789    37.78431    5.915767 ROAD
  -28.48638    38.35413    8.0      ROAD
  -28.75911    28.35785    8.0      ROAD
  -8.300404    27.79968    5.915767 ROAD
   29.64816    23.50722    2.097331 ROAD
   51.04746    22.9499           0.0ROAD
  -89.95335    20.84045    8.0      CREST   
  -91.67736    12.87483    8.0      CREST   
  -92.2327    -3.616436    8.0      CREST   
  -93.21654   -10.55742    8.0      CREST   
  -91.46928   -19.13136    8.0      CREST   
  -83.5144    -24.42435    8.0      CREST   
  -73.35118   -26.96384    8.0      CREST   
  -60.78306   -28.00558    8.0      CREST   
  -47.15011   -28.67532    8.0      CREST   
  -33.9576    -30.40951    8.0      CREST   
  -19.07772   -32.02434    8.0      CREST   
  -0.479441   -32.45132    8.0      CREST   
   30.20297   -32.63441    8.0      CREST   
   42.34507   -32.44781    8.0      CREST   
   58.66377   -31.34128    8.0      CREST   
   82.27094   -29.15985    8.0      CREST   
   89.13648   -26.53543    8.0      CREST   
   94.2304    -19.91666    8.0      CREST   
   96.75607   -12.06029    8.0      CREST   
   97.63181   -3.32456     8.0      CREST   
   96.65497    12.62862    8.0      CREST   
   92.58987    20.09584    8.0      CREST   
   84.09529    24.91695    8.0      CREST   
   74.06818    29.50886    8.0      CREST   
   63.84584    34.35207    8.0      CREST   
   51.42807    37.56375    8.0      CREST   
   30.57772    36.89228    8.0      CREST   
  -7.51668     38.9847     8.0      CREST   
  -28.48638    38.35413    8.0      CREST   
  -28.75921    28.35406    8.0      CREST   
  -31.52909    28.2697     8.0      CREST   
  -51.46496    27.30565    8.0      CREST   
  -60.0704     27.20314    8.0      CREST   
  -71.7253     27.56861    8.0      CREST   
  -78.30836    27.25573    8.0      CREST   
  -84.61126    25.51545    8.0      CREST   
  -89.95335    20.84045    8.0      CREST   
