BHID,FROM,TO,ZONE
VB2675,0.0,226.187, 
VB2675,226.187,245.8869,1.0 
VB2675,245.8869,259.887,2.0 
VB2675,259.887,330.887, 
VB2737,0.0,138.8373,
VB2737,138.8373,168.5373,1.0
VB2737,168.5373,200.5373,2.0
VB2737,200.5373,274.2373,   
VB2812,0.0,183.3175,
VB2812,183.3175,221.7175,1.0
VB2812,221.7175,283.7175,2.0
VB2812,283.7175,294.1175,   
VB2813,0.0,235.7412,
VB2813,235.7412,250.9412,1.0
VB2813,250.9412,279.0412,2.0
VB2813,279.0412,402.7412,   
VB2832,0.0,190.2809,
VB2832,190.2809,197.9309,1.0
VB2832,197.9309,216.5309,2.0
VB4266,0.0,203.6206,
VB4266,203.6206,210.3206,1.0
VB4266,210.3206,234.3206,2.0
VB4266,234.3206,245.8206,   
VB4267,0.0,206.0684,
VB4267,206.0684,215.3684,1.0
VB4267,215.3684,236.9684,2.0
VB4267,236.9684,244.8684,   
VB4269,0.0,198.3834,
VB4269,198.3834,212.3834,1.0
VB4269,212.3834,243.6833,2.0
VB4270,0.0,249.8499,
VB4270,249.8499,259.5499,1.0
VB4270,259.5499,286.5499,2.0
VB4270,286.5499,304.5499,   
VB4271,0.0,233.7563,
VB4271,233.7563,241.7563,1.0
VB4271,241.7563,270.6564,2.0
VB4271,270.6564,279.1564,   
VB4272,0.0,198.256, 
VB4272,198.256,202.9559,1.0 
VB4272,202.9559,216.9559,2.0
VB4272,216.9559,247.6559,   
VB4280,0.0,190.2216,
VB4280,190.2216,210.5216,1.0
VB4280,210.5216,234.9216,2.0
VB4280,234.9216,240.3216,   
VB4281,0.0,235.7156,
VB4281,235.7156,254.7156,1.0
VB4281,254.7156,292.8156,2.0
VB4281,292.8156,301.2156,   
VB4282,0.0,204.4754,
VB4282,204.4754,220.4754,1.0
VB4282,220.4754,243.7754,2.0
VB4282,243.7754,256.5754,   
VB4283,0.0,174.0347,
VB4283,174.0347,190.7347,1.0
VB4283,190.7347,212.7347,2.0
VB4283,212.7347,223.1347,   
VB4285,0.0,226.8002,
VB4285,226.8002,246.5002,1.0
VB4285,246.5002,280.5002,2.0
VB4285,280.5002,288.0002,   
VB4286,0.0,171.9976,
VB4286,171.9976,208.2976,1.0
VB4286,208.2976,228.4976,2.0
VB4286,228.4976,235.8976,   
VB4287,0.0,199.2155,
VB4287,199.2155,210.3155,1.0
VB4287,210.3155,232.3155,2.0
VB4287,232.3155,258.0155,   
VB4288,0.0,233.9416,
VB4288,233.9416,265.8416,1.0
VB4288,265.8416,283.8416,2.0
VB4288,283.8416,303.5416,   
VB4289,0.0,200.5091,
VB4289,200.5091,229.8091,1.0
VB4289,229.8091,235.7091,2.0
VB4289,235.7091,238.1091,   
VB4290,0.0,202.9287,
VB4290,202.9287,230.9287,1.0
VB4290,230.9287,245.2287,2.0
VB4290,245.2287,253.2287,   
VB4291,0.0,208.2438,
VB4291,208.2438,222.2438,1.0
VB4291,222.2438,242.2438,2.0
VB4291,242.2438,267.4438,   
VB4292,0.0,250.1141,
VB4292,250.1141,271.1141,1.0
VB4292,271.1141,289.1141,2.0
VB4292,289.1141,306.1141,   
VB4293,0.0,221.4832,
VB4293,221.4832,250.7832,1.0
VB4293,250.7832,265.2832,2.0
VB4293,265.2832,277.6832,   
VB4294,0.0,202.0267,
VB4294,202.0267,216.0267,1.0
VB4294,216.0267,228.0267,2.0
VB4294,228.0267,235.6267,   
VB4295,0.0,185.8057,
VB4295,185.8057,199.8057,1.0
VB4295,199.8057,209.3057,2.0
VB4295,209.3057,228.8057,   
