BHID,FROM,TO,AU,CU,DENSITY
VB2675,215.63690186,217.88690186,-,-,2.61999989
VB2675,217.88690186,219.88690186,-,-,2.6500001
VB2675,219.88690186,221.88690186,-,-,2.6500001
VB2675,221.88690186,223.88690186,-,-,2.66000009
VB2675,223.88690186,225.88690186,-,-,2.66000009
VB2675,225.88690186,226.18699646,-,-,2.66000009
VB2675,227.88690186,229.88690186,0.63,0.69999999,-
VB2675,229.88690186,231.88690186,0.56,0.60000002,-
VB2675,231.88690186,233.88690186,0.69999999,0.69999999,-
VB2675,233.88690186,235.88690186,0.41999999,0.5,-
VB2675,235.88690186,237.88690186,0.98000002,0.89999998,-
VB2675,237.88690186,239.88690186,2.45000005,1.89999998,2.79999995
VB2675,239.88690186,241.88690186,2.02999997,1.60000002,-
VB2675,241.88690186,243.88690186,2.38000011,1.89999998,2.79999995
VB2675,243.88690186,245.88690186,15.18999958,20.29999924,4.09000015
VB2675,245.88690186,247.88690186,0.69999999,0.69999999,3.21000004
VB2675,247.88690186,249.88690186,1.05999994,1,3.8499999
VB2675,249.88690186,251.88690186,1.25,1.20000005,4.17999983
VB2675,251.88690186,253.88690186,1.40999997,1.29999995,4.25
VB2675,253.88690186,255.88690186,1.41999996,1.29999995,4.25
VB2675,255.88690186,257.88699341,0.63,0.69999999,3.22000003
VB2675,267.88699341,269.88699341,0.02,-,-
VB2675,321.88699341,323.88699341,0.13,-,2.75999999
VB2675,323.88699341,324.93701172,0.23,-,2.91000009
VB2675,324.93701172,330.88699341,-,-,2.93000007
VB2737,80.03727722,138.83729553,-,-,2.66000009
VB2737,138.83729553,140.53729248,0.31,0.5,-
VB2737,142.53729248,144.53729248,20.64999962,9.80000019,3.87899995
VB2737,144.53729248,146.53729248,4.40999985,2.4000001,3.00999999
VB2737,146.53729248,148.53729248,2.24000001,1.39999998,-
VB2737,148.53729248,150.53729248,4.34000015,2.5,3.03999996
VB2737,150.53729248,152.53729248,0.28,0.5,-
VB2737,152.53729248,154.53729248,1.88999999,1.29999995,-
VB2737,154.53729248,156.53729248,1.25999999,1,-
VB2737,156.53729248,158.53729248,0.41999999,0.5,-
VB2737,158.53729248,160.53729248,0.28,0.5,-
VB2737,160.53729248,162.53729248,2.66000009,1.79999995,-
VB2737,162.53729248,164.53729248,5.17999983,3.4000001,3.3499999
VB2737,164.53729248,166.53729248,0.41999999,0.5,-
VB2737,172.53729248,174.53729248,0.82999998,0.80000001,3.41000009
VB2737,174.53729248,176.53729248,1.02999997,1,3.8499999
VB2737,176.53729248,178.53729248,1.29999995,1.20000005,4.19000006
VB2737,178.53729248,180.53729248,1.25,1.10000002,4.05000019
VB2737,180.53729248,182.53729248,1.75999999,1.5,4.40999985
VB2737,182.53729248,184.53729248,0.60000002,0.69999999,3.22000003
VB2737,184.53729248,186.53729248,1.01999998,1,3.8499999
VB2737,186.53729248,188.53729248,0.95999998,1,3.8499999
VB2737,188.53729248,190.53729248,0.79000002,0.80000001,3.43000007
VB2737,190.53729248,192.53729248,1.02999997,1,3.8499999
VB2737,192.53729248,194.53729248,0.85000002,0.89999998,3.67000008
VB2737,194.53729248,196.53729248,0.14,-,-
VB2737,196.53729248,198.53729248,0.19,0.40000001,2.81999993
