BHID,AT,BRG,DIP
VB2675,0,180.28999329,49.95000076
VB2675,50,180.28999329,49.95000076
VB2675,100,180.28999329,49.95000076
VB2675,145.88690186,180.28999329,49.95000076
VB2675,160.78239441,180.28999329,49.95000076
VB2675,195.88690186,180.6499939,50.20000076
VB2675,210.78239441,180.6499939,50.20000076
VB2675,245.88690186,181.30000305,51.40000153
VB2675,260.78240967,181.30000305,51.40000153
VB2675,295.88699341,183.3999939,53.5
VB2675,310.78240967,183.3999939,53.5
VB2737,0,180.55000305,50
VB2737,50,180.55000305,50
VB2737,78.53727722,180.55000305,50
VB2737,93.13587952,180.55000305,50
VB2737,126.53730011,179.5,50.5
VB2737,141.13589478,179.5,50.5
VB2737,178.53729248,180.5,51.70000076
VB2737,193.13589478,180.5,51.70000076
VB2737,238.53729248,182.69999695,53.20000076
VB2737,253.13589478,182.69999695,53.20000076
VB2812,0,179.91000366,47.40000153
VB2812,50,179.91000366,47.40000153
VB2812,100,179.91000366,47.40000153
VB2812,117.71749878,179.91000366,47.40000153
VB2812,132.76420593,179.91000366,47.40000153
VB2812,162.71749878,179,47.79999924
VB2812,177.76420593,179,47.79999924
VB2812,207.71749878,179.6000061,48.5
VB2812,222.76420593,179.6000061,48.5
VB2812,267.71749878,182.3999939,50
VB2812,282.76419067,182.3999939,50
VB2813,0,180.80999756,48.38000107
VB2813,50,180.80999756,48.38000107
VB2813,100,180.80999756,48.38000107
VB2813,148.94119263,180.80999756,48.38000107
VB2813,164.12759399,180.80999756,48.38000107
VB2813,188.94119263,180.3999939,47.29999924
VB2813,204.12759399,180.3999939,47.29999924
VB2813,233.94119263,179.30000305,45.59999847
VB2813,249.12759399,179.30000305,45.59999847
VB2832,0,168.13000488,39.41999817
VB2832,50,168.13000488,39.41999817
VB2832,100,168.13000488,39.41999817
VB2832,107.93090057,168.13000488,39.41999817
VB2832,126.19139862,168.13000488,39.41999817
VB2832,149.93089294,170.5,41.79999924
VB2832,168.19140625,170.5,41.79999924
VB2832,190.93089294,172.5,44.79999924
VB2832,209.19140625,172.5,44.79999924
VB4266,0,179.91000366,59.09999847
VB4266,50,179.91000366,59.09999847
VB4266,100,179.91000366,59.09999847
VB4266,118.32060242,179.91000366,59.09999847
VB4266,130.64759827,179.91000366,59.09999847
VB4266,168.32060242,180.1000061,58.20000076
VB4266,180.64759827,180.1000061,58.20000076
VB4266,218.32060242,179.3999939,56.29999924
VB4266,230.64759827,179.3999939,56.29999924
VB4267,0,179.61000061,85.23000336
VB4267,50,179.61000061,85.23000336
VB4267,96.8684082,179.61000061,85.23000336
VB4267,106.97779846,179.61000061,85.23000336
VB4267,149.86839294,178.3999939,86.5
VB4267,159.97779846,178.3999939,86.5
VB4267,201.86839294,176.30000305,87.09999847
VB4267,211.97779846,176.30000305,87.09999847
VB4269,0,179.63999939,39.11999893
VB4269,50,179.63999939,39.11999893
VB4269,100,179.63999939,39.11999893
VB4269,118.38339996,179.63999939,39.11999893
VB4269,136.61869812,179.63999939,39.11999893
VB4269,158.38340759,179.3999939,37.40000153
VB4269,176.61869812,179.3999939,37.40000153
VB4269,198.38340759,179.30000305,35.70000076
VB4269,216.61869812,179.30000305,35.70000076
VB4270,0,182.52999878,39.18999863
VB4270,50,182.52999878,39.18999863
VB4270,100,182.52999878,39.18999863
VB4270,150,182.52999878,39.18999863
VB4270,165.54989624,182.52999878,39.18999863
VB4270,183.72520447,182.52999878,39.18999863
VB4270,205.54989624,181.5,38.5
VB4270,223.72520447,181.5,38.5
VB4270,252.54989624,180.3999939,37.29999924
VB4270,270.72518921,180.3999939,37.29999924
VB4271,0,182.03999329,50.65000153
VB4271,50,182.03999329,50.65000153
VB4271,100,182.03999329,50.65000153
VB4271,139.15640259,182.03999329,50.65000153
VB4271,153.43930054,182.03999329,50.65000153
VB4271,184.15640259,181.5,51.40000153
VB4271,198.43930054,181.5,51.40000153
VB4271,229.15640259,180.8999939,50.29999924
VB4271,243.43930054,180.8999939,50.29999924
VB4272,0,177.63999939,86.58000183
VB4272,50,177.63999939,86.58000183
VB4272,96.95594025,177.63999939,86.58000183
VB4272,107.03749847,177.63999939,86.58000183
VB4272,146.9559021,175.3999939,84.5
VB4272,157.0375061,175.3999939,84.5
VB4272,191.9559021,170.69999695,82.09999847
VB4272,202.0375061,170.69999695,82.09999847
VB4277,0,178.30000305,45.29999924
VB4277,50,177.3999939,46.79999924
VB4277,100,178.30000305,45.29999924
VB4278,0,178.55999756,65.29000092
VB4278,50,179.5,65.30000305
VB4278,100,180.6000061,63.09999847
VB4280,0,184.50999451,39.31999969
VB4280,50,184.50999451,39.31999969
VB4280,96.52160645,184.50999451,39.31999969
VB4280,114.69779968,184.50999451,39.31999969
VB4280,131.52160645,185.3999939,40.40000153
VB4280,149.69779968,185.3999939,40.40000153
VB4280,184.52160645,187.19999695,42.70000076
VB4280,202.69779968,187.19999695,42.70000076
VB4281,0,184.1000061,40
VB4281,50,184.1000061,40
VB4281,100,184.1000061,40
VB4281,150,184.1000061,40
VB4281,154.71560669,184.1000061,40
VB4281,172.73599243,184.1000061,40
VB4281,200.71560669,182.30000305,40.59999847
VB4281,218.73599243,182.30000305,40.59999847
VB4281,230.71560669,180.5,41.79999924
VB4281,248.73599243,180.5,41.79999924
VB4282,0,180.53999329,52.11999893
VB4282,50,180.53999329,52.11999893
VB4282,100,180.53999329,52.11999893
VB4282,136.11540222,180.53999329,52.11999893
VB4282,171.11540222,181.30000305,53.20000076
VB4282,185.12660217,181.30000305,53.20000076
VB4282,204.11540222,179.80000305,54.70000076
VB4282,218.12660217,179.80000305,54.70000076
