BHID,FROM,TO,ZONE
VB2675,0,226.18699646,-
VB2675,226.18699646,245.88690186,1
VB2675,245.88690186,259.88699341,2
VB2675,259.88699341,330.88699341,-
VB2737,0,138.83729553,-
VB2737,138.83729553,168.53729248,1
VB2737,168.53729248,200.53729248,2
VB2737,200.53729248,274.23730469,-
VB2812,0,183.31750488,-
VB2812,183.31750488,221.71749878,1
VB2812,221.71749878,283.71749878,2
VB2812,283.71749878,294.11749268,-
VB2813,0,235.74119568,-
VB2813,235.74119568,250.94119263,1
VB2813,250.94119263,279.04119873,2
VB2813,279.04119873,402.74121094,-
VB2832,0,190.28089905,-
VB2832,190.28089905,197.93089294,1
VB2832,197.93089294,216.53089905,2
VB4266,0,203.62060547,-
VB4266,203.62060547,210.32060242,1
VB4266,210.32060242,234.32060242,2
VB4266,234.32060242,245.82060242,-
VB4267,0,206.06840515,-
VB4267,206.06840515,215.36839294,1
VB4267,215.36839294,236.96839905,2
VB4267,236.96839905,244.86839294,-
VB4269,0,198.38340759,-
VB4269,198.38340759,212.38340759,1
VB4269,212.38340759,243.68330383,2
VB4270,0,249.84989929,-
VB4270,249.84989929,259.54989624,1
VB4270,259.54989624,286.54989624,2
VB4270,286.54989624,304.54989624,-
VB4271,0,233.75630188,-
VB4271,233.75630188,241.75630188,1
VB4271,241.75630188,270.65640259,2
VB4271,270.65640259,279.15640259,-
VB4272,0,198.2559967,-
VB4272,198.2559967,202.9559021,1
VB4272,202.9559021,216.9559021,2
VB4272,216.9559021,247.65589905,-
VB4280,0,190.22160339,-
VB4280,190.22160339,210.52160645,1
VB4280,210.52160645,234.92160034,2
VB4280,234.92160034,240.32159424,-
VB4281,0,235.71560669,-
VB4281,235.71560669,254.71560669,1
VB4281,254.71560669,292.81561279,2
VB4281,292.81561279,301.21560669,-
VB4282,0,204.47540283,-
VB4282,204.47540283,220.47540283,1
VB4282,220.47540283,243.77540588,2
VB4282,243.77540588,256.57540894,-
VB4283,0,174.03469849,-
VB4283,174.03469849,190.73469543,1
VB4283,190.73469543,212.73469543,2
VB4283,212.73469543,223.13470459,-
VB4285,0,226.80020142,-
VB4285,226.80020142,246.50019836,1
VB4285,246.50019836,280.50021362,2
VB4285,280.50021362,288.00021362,-
VB4286,0,171.99760437,-
VB4286,171.99760437,208.29760742,1
VB4286,208.29760742,228.49760437,2
VB4286,228.49760437,235.89759827,-
VB4287,0,199.21549988,-
VB4287,199.21549988,210.31550598,1
VB4287,210.31550598,232.31550598,2
VB4287,232.31550598,258.01550293,-
VB4288,0,233.94160461,-
VB4288,233.94160461,265.84161377,1
VB4288,265.84161377,283.84161377,2
VB4288,283.84161377,303.54159546,-
VB4289,0,200.50909424,-
VB4289,200.50909424,229.80909729,1
VB4289,229.80909729,235.70910645,2
VB4289,235.70910645,238.10910034,-
VB4290,0,202.92869568,-
VB4290,202.92869568,230.92869568,1
VB4290,230.92869568,245.22869873,2
VB4290,245.22869873,253.22869873,-
VB4291,0,208.24380493,-
VB4291,208.24380493,222.24380493,1
VB4291,222.24380493,242.24380493,2
VB4291,242.24380493,267.44378662,-
VB4292,0,250.11410522,-
VB4292,250.11410522,271.11410522,1
VB4292,271.11410522,289.11410522,2
VB4292,289.11410522,306.11410522,-
VB4293,0,221.48320007,-
VB4293,221.48320007,250.78320313,1
VB4293,250.78320313,265.28320313,2
VB4293,265.28320313,277.68319702,-
VB4294,0,202.02670288,-
VB4294,202.02670288,216.02670288,1
VB4294,216.02670288,228.02670288,2
VB4294,228.02670288,235.62669373,-
VB4295,0,185.80569458,-
VB4295,185.80569458,199.80569458,1
VB4295,199.80569458,209.30569458,2
VB4295,209.30569458,228.80569458,-
